Date,Open,Low,High,Close,Volume,Amount
2012-02-17 00:00:00,0.765,0.756,0.875,0.864,129567,177776500.00
2012-02-24 00:00:00,0.880,0.865,0.955,0.909,253004,378494500.00
2012-03-02 00:00:00,0.908,0.849,0.932,0.893,175180,254060100.00
2012-03-09 00:00:00,0.894,0.843,0.921,0.915,155159,225956200.00
2012-03-16 00:00:00,0.915,0.894,1.092,1.042,301811,475735200.00
2012-03-23 00:00:00,1.039,0.982,1.144,1.115,340617,580982100.00
2012-03-30 00:00:00,1.100,0.923,1.160,0.991,241007,393235400.00
2012-04-06 00:00:00,0.998,0.972,1.105,1.084,91383,152154500.00
2012-04-13 00:00:00,1.073,0.988,1.114,1.084,201303,337836900.00
2012-04-20 00:00:00,1.071,1.012,1.112,1.035,147550,246292400.00
2012-04-27 00:00:00,1.029,0.895,1.029,0.947,122672,187132500.00
2012-05-04 00:00:00,0.955,0.926,1.013,0.998,76414,118937400.00
2012-05-11 00:00:00,0.998,0.926,1.016,0.930,112579,177025900.00
2012-05-18 00:00:00,0.944,0.896,0.956,0.905,74209,111717100.00
2012-05-25 00:00:00,0.898,0.887,0.952,0.896,73637,110268800.00
2012-06-01 00:00:00,0.882,0.852,0.991,0.959,114680,171892500.00
2012-06-08 00:00:00,0.934,0.881,0.949,0.926,97795,143833900.00
2012-06-15 00:00:00,0.928,0.922,1.012,0.996,139357,215667200.00
2012-06-22 00:00:00,0.999,0.969,1.033,0.981,117642,186574700.00
2012-06-29 00:00:00,0.972,0.915,1.048,1.035,108675,170295000.00
2012-07-06 00:00:00,1.035,0.981,1.075,1.029,120297,195662300.00
2012-07-13 00:00:00,1.026,0.960,1.077,1.065,110837,179657200.00
2012-07-20 00:00:00,1.073,0.991,1.132,1.061,128912,215048900.00
2012-07-27 00:00:00,1.061,1.024,1.102,1.064,85574,142823800.00
2012-08-03 00:00:00,1.050,1.031,1.201,1.191,168328,291125200.00
2012-08-10 00:00:00,1.173,1.173,1.275,1.225,204609,387922000.00
2012-08-17 00:00:00,1.211,1.148,1.276,1.212,90953,169676800.00
2012-08-24 00:00:00,1.213,1.184,1.407,1.276,169530,340217200.00
2012-08-31 00:00:00,1.259,1.177,1.373,1.278,128534,250600300.00
2012-09-07 00:00:00,1.259,1.259,1.375,1.354,117661,236913600.00
2012-09-14 00:00:00,1.354,1.347,1.477,1.433,116556,250150400.00
2012-09-21 00:00:00,1.414,1.323,1.429,1.341,73018,151374000.00
2012-09-28 00:00:00,1.329,1.177,1.335,1.247,112861,216276000.00
2012-10-12 00:00:00,1.247,1.232,1.344,1.281,57194,112392100.00
2012-10-19 00:00:00,1.259,1.195,1.285,1.241,47491,90179100.00
2012-10-26 00:00:00,1.234,1.133,1.263,1.141,40896,74990130.00
2012-11-02 00:00:00,1.140,1.038,1.153,1.128,94105,161025300.00
2012-11-09 00:00:00,1.128,1.041,1.133,1.066,54170,91487200.00
2012-11-16 00:00:00,1.067,0.968,1.107,0.972,45769,74611620.00
2012-11-23 00:00:00,0.994,0.963,1.057,1.027,39758,63517440.00
2012-11-30 00:00:00,1.039,0.874,1.039,0.893,40768,60959280.00
